"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","1,406.90","1,409.80","1,436.75","1,400.00","37.11M","-1.44%"
"05/30/2024","1,427.45","1,442.80","1,449.85","1,421.55","9.66M","-1.62%"
"05/29/2024","1,450.95","1,465.40","1,465.50","1,450.00","7.40M","-1.10%"
"05/28/2024","1,467.05","1,475.50","1,476.00","1,460.30","6.19M","-0.29%"
"05/27/2024","1,471.35","1,471.85","1,479.60","1,460.25","5.82M","0.43%"
"05/24/2024","1,465.10","1,468.25","1,475.50","1,460.00","5.28M","-0.50%"
"05/23/2024","1,472.40","1,454.70","1,478.15","1,450.00","8.64M","1.21%"
"05/22/2024","1,454.80","1,428.75","1,459.95","1,428.00","7.17M","1.44%"
"05/21/2024","1,434.15","1,430.00","1,444.70","1,428.40","6.75M","-0.66%"
"05/18/2024","1,443.65","1,445.00","1,450.00","1,442.00","318.28K","-0.05%"
"05/17/2024","1,444.30","1,457.00","1,457.00","1,439.25","7.54M","-0.62%"
"05/16/2024","1,453.35","1,433.95","1,455.75","1,427.00","9.25M","2.35%"
"05/15/2024","1,419.95","1,426.00","1,431.80","1,418.55","4.33M","-0.33%"
"05/14/2024","1,424.70","1,426.40","1,433.75","1,418.05","3.46M","0.09%"
"05/13/2024","1,423.45","1,425.00","1,425.00","1,411.20","3.74M","-0.18%"
"05/10/2024","1,426.00","1,427.85","1,430.55","1,413.30","8.78M","-0.94%"
"05/09/2024","1,439.55","1,427.55","1,449.95","1,424.85","6.09M","0.81%"
"05/08/2024","1,428.00","1,438.40","1,439.55","1,425.65","6.23M","-0.70%"
"05/07/2024","1,438.00","1,426.85","1,443.25","1,415.60","6.08M","0.85%"
"05/06/2024","1,425.90","1,420.00","1,445.70","1,417.10","6.45M","0.68%"
"05/03/2024","1,416.30","1,422.10","1,424.80","1,403.20","8.84M","0.13%"
"05/02/2024","1,414.45","1,413.00","1,424.00","1,411.85","10.08M","-0.43%"
"04/30/2024","1,420.55","1,434.70","1,436.55","1,417.55","6.94M","-0.99%"
"04/29/2024","1,434.75","1,429.95","1,439.80","1,428.25","5.06M","0.31%"
"04/26/2024","1,430.25","1,439.70","1,445.40","1,427.00","8.06M","-0.57%"
"04/25/2024","1,438.45","1,420.00","1,444.90","1,420.00","9.09M","0.54%"
"04/24/2024","1,430.75","1,444.30","1,444.30","1,427.05","4.27M","-0.81%"
"04/23/2024","1,442.40","1,443.00","1,446.85","1,433.00","4.86M","0.67%"
"04/22/2024","1,432.75","1,419.90","1,436.85","1,413.05","5.86M","1.52%"
"04/19/2024","1,411.25","1,385.00","1,426.85","1,378.75","20.60M","-0.56%"
"04/18/2024","1,419.25","1,421.10","1,444.70","1,407.50","22.11M","0.34%"
"04/16/2024","1,414.45","1,451.00","1,455.15","1,413.05","16.17M","-3.66%"
"04/15/2024","1,468.15","1,480.00","1,491.95","1,461.05","8.53M","-1.12%"
"04/12/2024","1,484.75","1,504.00","1,506.80","1,479.50","12.28M","-1.46%"
"04/10/2024","1,506.80","1,500.35","1,509.85","1,484.55","6.74M","0.80%"
"04/09/2024","1,494.85","1,490.00","1,513.80","1,487.30","9.42M","1.23%"
"04/08/2024","1,476.70","1,483.00","1,490.95","1,474.10","6.61M","-0.16%"
"04/05/2024","1,479.10","1,480.05","1,486.70","1,476.05","5.07M","-0.51%"
"04/04/2024","1,486.70","1,490.55","1,495.65","1,468.00","11.19M","0.41%"
"04/03/2024","1,480.65","1,479.00","1,495.10","1,475.00","8.74M","-0.15%"
"04/02/2024","1,482.85","1,484.85","1,493.15","1,480.85","7.28M","-0.84%"
"04/01/2024","1,495.45","1,525.00","1,529.95","1,492.80","6.58M","-0.17%"
"03/28/2024","1,498.05","1,487.15","1,511.80","1,487.15","12.50M","0.96%"
"03/27/2024","1,483.85","1,496.00","1,499.00","1,481.55","6.86M","-0.59%"
"03/26/2024","1,492.65","1,492.00","1,507.45","1,487.90","8.35M","-1.07%"
"03/22/2024","1,508.85","1,521.00","1,528.90","1,498.20","14.67M","-2.95%"
"03/21/2024","1,554.70","1,564.00","1,576.95","1,543.40","11.06M","-0.02%"
"03/20/2024","1,554.95","1,563.00","1,574.95","1,552.35","4.76M","-0.42%"
"03/19/2024","1,561.45","1,592.35","1,599.00","1,558.00","6.87M","-2.57%"
"03/18/2024","1,602.65","1,630.00","1,632.65","1,598.85","4.96M","-1.92%"
"03/15/2024","1,634.00","1,641.10","1,645.80","1,618.35","11.81M","-1.17%"
"03/14/2024","1,653.30","1,614.40","1,657.75","1,608.00","8.80M","2.60%"
"03/13/2024","1,611.40","1,612.90","1,624.50","1,598.55","5.69M","-0.10%"
"03/12/2024","1,612.95","1,600.00","1,625.00","1,597.65","4.61M","0.77%"
"03/11/2024","1,600.60","1,608.15","1,613.80","1,588.00","6.75M","-0.98%"
"03/07/2024","1,616.45","1,616.60","1,628.45","1,604.20","6.35M","-0.07%"
